Datum;CDU/CSU;SPD;FDP;Grüne;Linke;AfD;"Freie Wähler";Sonstige
15.01.2016;"37,0";"24,0";"5,0";"10,0";"8,0";"11,0";;"5,0"
29.01.2016;"37,0";"24,0";"5,0";"11,0";"8,0";"11,0";;"4,0"
19.02.2016;"36,0";"25,0";"5,0";"10,0";"9,0";"10,0";;"5,0"
18.03.2016;"35,0";"23,0";"6,0";"12,0";"8,0";"12,0";;"4,0"
08.04.2016;"36,0";"22,0";"7,0";"12,0";"7,0";"12,0";;"4,0"
22.04.2016;"33,0";"22,0";"7,0";"14,0";"8,0";"12,0";;"4,0"
13.05.2016;"33,0";"21,0";"7,0";"14,0";"8,0";"13,0";;"4,0"
03.06.2016;"33,0";"21,0";"6,0";"13,0";"9,0";"13,0";;"5,0"
24.06.2016;"34,0";"22,0";"6,0";"12,0";"9,0";"12,0";;"5,0"
08.07.2016;"34,0";"23,0";"6,0";"13,0";"9,0";"11,0";;"4,0"
22.07.2016;"35,0";"24,0";"5,0";"13,0";"8,0";"11,0";;"4,0"
12.08.2016;"35,0";"22,0";"6,0";"13,0";"9,0";"11,0";;"4,0"
23.09.2016;"33,0";"22,0";"5,0";"13,0";"10,0";"13,0";;"4,0"
14.10.2016;"34,0";"22,0";"5,0";"12,0";"10,0";"13,0";;"4,0"
28.10.2016;"33,0";"23,0";"5,0";"12,0";"10,0";"12,0";;"5,0"
11.11.2016;"34,0";"22,0";"5,0";"13,0";"10,0";"12,0";;"4,0"
25.11.2016;"36,0";"21,0";"5,0";"11,0";"10,0";"13,0";;"4,0"
09.12.2016;"36,0";"22,0";"5,0";"10,0";"10,0";"12,0";;"5,0"
13.01.2017;"36,0";"21,0";"6,0";"10,0";"9,0";"13,0";;"5,0"
27.01.2017;"36,0";"24,0";"6,0";"8,0";"10,0";"11,0";;"5,0"
17.02.2017;"34,0";"30,0";"6,0";"9,0";"7,0";"10,0";;"4,0"
10.03.2017;"34,0";"32,0";"5,0";"7,0";"8,0";"9,0";;"5,0"
07.04.2017;"35,0";"32,0";"5,0";"7,0";"8,0";"9,0";;"4,0"
28.04.2017;"37,0";"29,0";"6,0";"8,0";"9,0";"8,0";;"3,0"
19.05.2017;"38,0";"27,0";"8,0";"7,0";"9,0";"7,0";;"4,0"
02.06.2017;"39,0";"25,0";"8,0";"7,0";"9,0";"8,0";;"4,0"
23.06.2017;"39,0";"25,0";"8,0";"8,0";"9,0";"7,0";;"4,0"
07.07.2017;"40,0";"24,0";"8,0";"8,0";"9,0";"7,0";;"4,0"
21.07.2017;"40,0";"24,0";"8,0";"8,0";"8,0";"8,0";;"4,0"
11.08.2017;"40,0";"24,0";"8,0";"8,0";"8,0";"8,0";;"4,0"
25.08.2017;"39,0";"22,0";"9,0";"8,0";"9,0";"9,0";;"4,0"
01.09.2017;"39,0";"22,0";"10,0";"8,0";"9,0";"8,0";;"4,0"
08.09.2017;"38,0";"22,0";"9,0";"8,0";"9,0";"9,0";;"5,0"
15.09.2017;"36,0";"23,0";"10,0";"8,0";"9,0";"10,0";;"4,0"
21.09.2017;"36,0";"21,5";"10,0";"8,0";"8,5";"11,0";;"5,0"
29.09.2017;"32,0";"21,0";"10,0";"11,0";"10,0";"12,0";;"4,0"
13.10.2017;"31,0";"21,0";"11,0";"11,0";"10,0";"12,0";;"4,0"
27.10.2017;"33,0";"21,0";"10,0";"11,0";"9,0";"12,0";;"4,0"
17.11.2017;"33,0";"21,0";"10,0";"12,0";"9,0";"11,0";;"4,0"
08.12.2017;"32,0";"23,0";"8,0";"12,0";"9,0";"12,0";;"4,0"
19.01.2018;"33,0";"20,0";"8,0";"12,0";"10,0";"12,0";;"5,0"
02.02.2018;"31,0";"19,0";"7,0";"14,0";"11,0";"14,0";;"4,0"
23.02.2018;"33,0";"17,0";"8,0";"12,0";"11,0";"14,0";;"5,0"
16.03.2018;"32,0";"19,0";"9,0";"12,0";"11,0";"13,0";;"4,0"
13.04.2018;"33,0";"19,0";"8,0";"14,0";"9,0";"13,0";;"4,0"
27.04.2018;"34,0";"20,0";"7,0";"13,0";"10,0";"13,0";;"3,0"
18.05.2018;"34,0";"20,0";"8,0";"12,0";"9,0";"14,0";;"3,0"
08.06.2018;"33,0";"20,0";"8,0";"13,0";"10,0";"13,0";;"3,0"
29.06.2018;"32,0";"18,0";"9,0";"14,0";"10,0";"14,0";;"3,0"
13.07.2018;"31,0";"18,0";"7,0";"14,0";"11,0";"15,0";;"4,0"
10.08.2018;"31,0";"18,0";"8,0";"15,0";"9,0";"16,0";;"3,0"
31.08.2018;"31,0";"18,0";"8,0";"14,0";"8,0";"17,0";;"4,0"
14.09.2018;"30,0";"20,0";"7,0";"16,0";"8,0";"15,0";;"4,0"
28.09.2018;"28,0";"17,0";"8,0";"17,0";"10,0";"16,0";;"4,0"
19.10.2018;"27,0";"14,0";"8,0";"20,0";"10,0";"16,0";;"5,0"
09.11.2018;"27,0";"14,0";"9,0";"22,0";"9,0";"14,0";;"5,0"
23.11.2018;"27,0";"14,0";"8,0";"22,0";"9,0";"16,0";;"4,0"
14.12.2018;"30,0";"15,0";"7,0";"19,0";"9,0";"15,0";;"5,0"
11.01.2019;"29,0";"14,0";"8,0";"21,0";"9,0";"14,0";;"5,0"
25.01.2019;"31,0";"14,0";"8,0";"20,0";"9,0";"13,0";;"5,0"
08.02.2019;"30,0";"16,0";"8,0";"20,0";"9,0";"12,0";;"5,0"
22.02.2019;"31,0";"15,0";"7,0";"20,0";"9,0";"13,0";;"5,0"
15.03.2019;"31,0";"16,0";"8,0";"19,0";"8,0";"12,0";;"6,0"
28.03.2019;"30,0";"15,0";"9,0";"19,0";"9,0";"13,0";;"5,0"
12.04.2019;"28,0";"17,0";"8,0";"20,0";"9,0";"13,0";;"5,0"
10.05.2019;"30,0";"16,0";"7,0";"20,0";"8,0";"14,0";;"5,0"
06.06.2019;"27,0";"13,0";"7,0";"26,0";"7,0";"13,0";;"7,0"
21.06.2019;"27,0";"14,0";"7,0";"26,0";"7,0";"13,0";;"6,0"
19.07.2019;"28,0";"13,0";"8,0";"25,0";"8,0";"12,0";;"6,0"
09.08.2019;"28,0";"13,0";"7,0";"25,0";"7,0";"13,0";;"7,0"
05.09.2019;"28,0";"15,0";"6,0";"24,0";"7,0";"13,0";;"7,0"
27.09.2019;"27,0";"13,0";"6,0";"27,0";"7,0";"14,0";;"6,0"
18.10.2019;"29,0";"14,0";"6,0";"24,0";"8,0";"13,0";;"6,0"
08.11.2019;"27,0";"14,0";"7,0";"22,0";"10,0";"14,0";;"6,0"
29.11.2019;"27,0";"13,0";"7,0";"23,0";"10,0";"14,0";;"6,0"
13.12.2019;"27,0";"13,0";"8,0";"23,0";"9,0";"14,0";;"6,0"
16.01.2020;"27,0";"14,0";"7,0";"23,0";"9,0";"14,0";;"6,0"
07.02.2020;"27,0";"14,0";"6,0";"22,0";"10,0";"14,0";;"7,0"
06.03.2020;"26,0";"16,0";"6,0";"23,0";"8,0";"14,0";;"7,0"
27.03.2020;"33,0";"15,0";"6,0";"22,0";"8,0";"10,0";;"6,0"
09.04.2020;"35,0";"17,0";"5,0";"20,0";"7,0";"10,0";;"6,0"
24.04.2020;"39,0";"16,0";"5,0";"18,0";"7,0";"9,0";;"6,0"
15.05.2020;"38,0";"15,0";"5,0";"18,0";"8,0";"10,0";;"6,0"
29.05.2020;"39,0";"15,0";"4,0";"19,0";"8,0";"9,0";;"6,0"
12.06.2020;"39,0";"15,0";"4,0";"20,0";"7,0";"9,0";;"6,0"
26.06.2020;"40,0";"15,0";"5,0";"19,0";"7,0";"9,0";;"5,0"
10.07.2020;"39,0";"15,0";"5,0";"20,0";"7,0";"9,0";;"5,0"
31.07.2020;"38,0";"14,0";"5,0";"21,0";"8,0";"9,0";;"5,0"
28.08.2020;"38,0";"16,0";"5,0";"19,0";"8,0";"9,0";;"5,0"
17.09.2020;"37,0";"17,0";"5,0";"19,0";"7,0";"10,0";;"5,0"
09.10.2020;"37,0";"16,0";"5,0";"20,0";"7,0";"10,0";;"5,0"
23.10.2020;"38,0";"15,0";"5,0";"20,0";"8,0";"9,0";;"5,0"
13.11.2020;"37,0";"16,0";"5,0";"20,0";"7,0";"9,0";;"6,0"
27.11.2020;"37,0";"16,0";"5,0";"21,0";"7,0";"9,0";;"5,0"
10.12.2020;"37,0";"16,0";"5,0";"20,0";"8,0";"10,0";;"4,0"
15.01.2021;"37,0";"15,0";"5,0";"20,0";"8,0";"10,0";;"5,0"
28.01.2021;"37,0";"15,0";"6,0";"20,0";"7,0";"9,0";;"6,0"
26.02.2021;"35,0";"16,0";"7,0";"19,0";"7,0";"10,0";;"6,0"
26.03.2021;"28,0";"15,0";"9,0";"23,0";"7,0";"12,0";;"6,0"
16.04.2021;"31,0";"14,0";"9,0";"21,0";"7,0";"11,0";;"7,0"
07.05.2021;"25,0";"14,0";"10,0";"26,0";"7,0";"11,0";;"7,0"
21.05.2021;"24,0";"14,0";"11,0";"25,0";"7,0";"11,0;;"3,0","5,0"
10.06.2021;"28,0";"15,0";"10,0";"22,0";"7,0";"11,0;;"3,0","4,0"
25.06.2021;"29,0";"14,0";"10,0";"22,0";"7,0";"10,0";;"8,0"
16.07.2021;"30,0";"15,0";"10,0";"20,0";"7,0";"10,0";;"8,0"
30.07.2021;"28,0";"16,0";"10,0";"21,0";"7,0";"11,0;;"3,0","4,0"
13.08.2021;"26,0";"19,0";"11,0";"19,0";"7,0";"11,0";;"7,0"
27.08.2021;"22,0";"22,0";"10,0";"20,0";"6,0";"11,0;;"3,0","6,0"
03.09.2021;"22,0";"25,0";"11,0";"17,0";"7,0";"11,0";;"7,0"
10.09.2021;"22,0";"25,0";"11,0";"17,0";"6,0";"11,0;;"3,0","5,0"
17.09.2021;"22,0";"25,0";"11,0";"16,0";"6,0";"11,0";;"9,0"
23.09.2021;"23,0";"25,0";"11,0";"16,5";"6,0";"10,0;;"3,0","5,5"
01.10.2021;"20,0";"28,0";"13,0";"16,0";"5,0";"10,0";;"8,0"
15.10.2021;"19,0";"28,0";"13,0";"17,0";"5,0";"11,0";;"7,0"
29.10.2021;"20,0";"27,0";"14,0";"16,0";"5,0";"11,0";;"7,0"
12.11.2021;"20,0";"28,0";"13,0";"16,0";"5,0";"11,0";;"7,0"
26.11.2021;"19,0";"28,0";"13,0";"17,0";"5,0";"11,0";;"7,0"
10.12.2021;"21,0";"28,0";"12,0";"17,0";"5,0";"10,0";;"7,0"
14.01.2022;"22,0";"27,0";"11,0";"16,0";"6,0";"10,0";;"8,0"
28.01.2022;"23,0";"24,0";"10,0";"18,0";"7,0";"10,0";;"8,0"
11.02.2022;"25,0";"25,0";"9,0";"16,0";"6,0";"11,0";;"8,0"
24.02.2022;"24,0";"26,0";"9,0";"17,0";"6,0";"11,0";;"7,0"
11.03.2022;"24,0";"27,0";"9,0";"18,0";"5,0";"10,0";;"7,0"
08.04.2022;"24,0";"27,0";"8,0";"19,0";"4,0";"11,0";;"7,0"
29.04.2022;"23,0";"25,0";"9,0";"21,0";"4,0";"11,0";;"7,0"
20.05.2022;"26,0";"22,0";"7,0";"24,0";"4,0";"10,0";;"7,0"
17.06.2022;"26,0";"22,0";"6,0";"25,0";"5,0";"10,0";;"6,0"
01.07.2022;"27,0";"21,0";"6,0";"25,0";"5,0";"10,0";;"6,0"
15.07.2022;"26,0";"21,0";"6,0";"25,0";"5,0";"11,0";;"6,0"
12.08.2022;"26,0";"19,0";"7,0";"26,0";"4,0";"12,0";;"6,0"
09.09.2022;"28,0";"19,0";"6,0";"23,0";"5,0";"13,0";;"6,0"
30.09.2022;"27,0";"18,0";"7,0";"22,0";"5,0";"14,0";;"7,0"
21.10.2022;"28,0";"19,0";"6,0";"21,0";"5,0";"15,0";;"6,0"
11.11.2022;"28,0";"19,0";"5,0";"22,0";"5,0";"15,0";;"6,0"
25.11.2022;"28,0";"19,0";"5,0";"22,0";"6,0";"14,0";;"6,0"
16.12.2022;"28,0";"20,0";"6,0";"20,0";"5,0";"15,0";;"6,0"
